bayna/1a/01/0	(определённый артикль).	اَلْـ...
bayna/3b/14/80	компонент, формирующий	مُكَوِّنٌ
bayna/3b/14/81	иммунитет	مَنَاعَةٌ
bayna/3b/14/82	организатор	مُنَظِّمٌ
bayna/3b/14/83	весть	نَبَأٌ أنَبَاء
bayna/3b/14/84	растительный	نَبَاتِيٌّ
bayna/3b/14/85	относительный	نِسْبِيٌّ
bayna/3b/14/86	ткань	نَسِيجٌ мн. أَنْسِجَةٌ
bayna/3b/14/87	капля семя сперма	نُطْفَةٌ
bayna/3b/14/88	пищеварение	هَضْمٌ
bayna/3b/14/89	гормон	هُرْمُونٌ
bayna/3b/14/90	импорт	وَارِدٌ
bayna/3b/15/11	улыбка	إِبْتِسَامَةٌ
bayna/3b/15/12	провал: отчаяние	إحْبَاطٌ
bayna/3b/15/13	переносить	إحْتَمَلَ يَحْتَمِلُ
bayna/3b/15/14	новейший	أحْدَثُ
bayna/3b/15/15	радиовещание	إِذَاعَةٌ
bayna/3b/15/16	овладевать	اِسْتَوْلَى
bayna/3b/15/17	упущение	إِغْفَالٌ
bayna/3b/15/18	пренебрегать	أَغْفَلَ
bayna/3b/15/19	несколько (от 3-10)	بِضْعٌ بِضْعٌ بِضْعٌ
bayna/3b/15/20	временами	بَيْنَ الحِينِ و الحِينِ
bayna/3b/15/21	очень скоро	بَيْنَ عشِيَّةٍ وَ ضُحَاهَا
bayna/3b/15/22	мелкий, ничтожный	تَافِهٌ
bayna/3b/15/23	прогулка	تَجَوُّلٌ
bayna/3b/15/24	планирование	تَخْطِيطٌ
bayna/3b/15/25	самоосвобождение	تَخَلُّصٌ
bayna/3b/15/26	преодоление	تَغَلُّبٌ
bayna/3b/15/27	хорошо знать	تَفَهَّمَ
bayna/3b/15/28	признание, уважение	تَقْدِيرٌ
bayna/3b/15/29	разрушаться	تَقَوَّضَ
bayna/3b/15/30	хмуриться	تَكْشِيرَةٌ
bayna/3b/15/31	приспособляться	تَكَيَّفَ
bayna/3b/15/32	снабжение	تَمْوِينٌ
bayna/3b/15/33	управлять	تَوَلَّى
bayna/3b/15/34	заседание посиделки	جَلْسَةٌ
bayna/3b/15/35	внук	حَفِيدٌ
bayna/3b/15/36	украшение	حَلْىٌ
bayna/3b/15/37	править управлять судить	حُكْمٌ
bayna/3b/15/38	не иметь	خَلاَ
bayna/3b/15/39	внутренность	دَاخِلِيَّةٌ
bayna/3b/15/40	причина, повод	دَاعٍ
bayna/3b/15/41	обдумывать: обеспечивать	دَبَّرَ
bayna/3b/15/42	минута	دَقِيقَةٌ
bayna/3b/15/43	разрушение	دَمَارٌ
bayna/3b/15/44	недовольный	سَاخِطٌ
bayna/3b/15/45	высокий	سَامٍ
bayna/3b/15/46	яд	سَمٌّ
bayna/3b/15/47	редкий исключительный	شَاذٌّ
bayna/3b/15/48	квартира	شَقَّةٌ
bayna/3b/15/49	желать доброго утра	صَبَّحَ
bayna/3b/15/50	быть долгим	طَالَ طُولٌ
bayna/3b/15/51	повар	طَاهٍ
bayna/3b/15/52	устремление	طُمُوحٌ
bayna/3b/15/53	условие	ظَرْفٌ
bayna/3b/15/54	хмурящийся	عَابِسٌ
bayna/3b/15/55	чувство	عَاطِفَةٌ
bayna/3b/15/56	глубокий	عَمِيقٌ
bayna/3b/15/57	привывать	غَرَسَ
bayna/3b/15/58	роскошный	فَخْمٌ
bayna/3b/15/59	мусор	قَاذُورَاتٌ
bayna/3b/15/60	жестокий суровый	قَاسٍ
bayna/3b/15/61	сокращать	قَصَّرَ
bayna/3b/15/62	оковы	قَيْدٌ
bayna/3b/15/63	уныние печаль	كَآبَةٌ
bayna/3b/15/64	натура природа	كِيَانٌ
bayna/3b/15/65	скоро он…	لَا يَلْبَثُ أَن
bayna/3b/15/66	приятность вкус	لَذَّةٌ
bayna/3b/15/67	воображающий	مُتَصَوِّرٌ
bayna/3b/15/68	трудность	مَتْعَبَةٌ
bayna/3b/15/69	непрерывный	مُتَوَاصِلٌ
bayna/3b/15/70	пожелать доброго вечера	مَسَّى
bayna/3b/15/71	сияющий	مُشْرِقٌ
bayna/3b/15/72	благо польза интерес	مَصْلَحَةٌ
bayna/3b/15/73	абсолютный	مُطْلَقٌ
bayna/3b/15/74	покрытый	مٌغَطَّى
bayna/3b/15/75	хмурящийся	مُكَشَّرٌ
bayna/3b/15/76	смотрящий угрюмо	مُكْفَهِرٌ
bayna/3b/15/77	цветной	مُلَوَّنٌ
bayna/3b/15/78	полный	مَلِيءٌ
bayna/3b/15/79	поэтому, отсюда	مِنْ ثُمَّ
bayna/3b/15/80	бюджет	مِيزَانِيَّةٌ
bayna/3b/15/81	клуб	نَادٍ
bayna/3b/15/82	прогулка	نُزْهَةٌ
bayna/3b/15/83	сущность, личность	هُوِيَّةٌ
bayna/3b/15/84	провожать	وَدَّعَ
bayna/3b/15/85	министр	وَزِيرٌ
bayna/3b/15/86	завешать	وَصَّى
bayna/3b/15/87	завет	وَصِيَّةٌ
bayna/3b/15/88	обеспечивать	وَفَّرَ
bayna/3b/16/11	улыбка	اِبْتِسَامَةٌ
bayna/3b/16/12	увеличиваться	اِتَّسَعَ / يَتَّسِعُ
bayna/3b/16/13	совершать	أَجْرَى / يُجْرِي
bayna/3b/16/14	кормить грудью	أَرْضَعَ / يُرْضِعُ
bayna/3b/16/15	изумление	اِسْتِغْرَابٌ
bayna/3b/16/16	палец	إِصْبَعٌ / أَصَابِعُ
bayna/3b/16/17	приходил	أَقْبَلَ / يُقْبِلُ
bayna/3b/16/18	смешивался	اِمْتَزَجَ / يَمْتَزِجُ
bayna/3b/16/19	постигать	اِنْتَابَ / يَنْتَابُ
bayna/3b/16/20	беспокоиться	اِنْزَعَجَ / يَنْزَعِجُ
bayna/3b/16/21	испытывать вливание	تَأَثَّرَ / يَتَأَثَّرُ ب
bayna/3b/16/22	анализ	تَحْلِيلٌ / تَحَالِيلُ
bayna/3b/16/23	громко раздаваться(о голосе)	تَعَالَى
bayna/3b/16/24	желать	تَمَنَّى / يَتَمَنَّى
bayna/3b/16/25	кормилица	حَاضِنَةٌ
bayna/3b/16/26	сочувствие, нежность	حَنَانٌ
bayna/3b/16/27	слуга	خَادِمٌ
bayna/3b/16/28	тепло, теплота	دِفْءٌ
bayna/3b/16/29	кормление грудью	رِضَاعَةٌ
bayna/3b/16/30	грудной ребёнок	رَضِيعٌ
bayna/3b/16/31	слюна	رِيقٌ
bayna/3b/16/32	стеклянный	زُجَاجِيٌّ
bayna/3b/16/33	называть	سَمَّى / يُسَمِّي
bayna/3b/16/34	колоть	شَاكَ / يَشُوكُ
bayna/3b/16/35	разные	شَتَّى
bayna/3b/16/36	шип, колючка	شَوْكَةٌ
bayna/3b/16/37	кричать	صَاحَ / يَصِيحُ
bayna/3b/16/38	кричать; вопить	صَرَخَ / يَصْرُخُ
bayna/3b/16/39	операция	عَمَلِيَّةٌ (ات)
bayna/3b/16/40	неожиданно, внезапно	فَجْأَةٌ
bayna/3b/16/41	мера	قَدْرٌ
bayna/3b/16/42	плечо	كَتِفٌ
bayna/3b/16/43	отказаться	كَفَّ / يَكُفُّ عن
bayna/3b/16/44	способ	كَيْفِيَّةٌ
bayna/3b/16/45	жевать	لَاكَ / يَلُوكُ
bayna/3b/16/46	быть мягким	لَانَ / يَلِينُ
bayna/3b/16/47	заворачивать	لَفَّ / يَلُفُّ
bayna/3b/16/48	какой мягкий	مَا أَحْلَمَ
bayna/3b/16/49	как прекрасен	مَا أَرْوَعَ
bayna/3b/16/50	горький	مُرٌّ
bayna/3b/16/51	сосать	مَصَّ / يَمُصُّ
bayna/3b/16/52	информация	مَعْلُومَةٌ (ات)
bayna/3b/16/53	ребенок, дитя	وَلِيدٌ / وِلْدَانٌ
bayna/3b/16/54	повседневная; дневник	يَوْمِيَّةٌ (ات)
bayna/4a/01a/11	единогласное решение	إِجْمَاعٌ
bayna/4a/01a/12	выбор	إِخْتِيَارٌ
bayna/4a/01a/13	вдыхать	اِسْتَنْشَقَ
bayna/4a/01a/14	худший	أَسْوَأُ
bayna/4a/01a/15	потеря	إِضَاعَةٌ
bayna/4a/01a/16	рты	أَفْوَاهٌ
bayna/4a/01a/17	осмеливаться	أَقْدَمَ
bayna/4a/01a/18	самоубийство	إِنتِحَارٌ
bayna/4a/01a/19	предупреждает	أَنْذَرَ
bayna/4a/01a/20	человеческий	بَشَرِيٌّ
bayna/4a/01a/21	табак	تَبْغٌ
bayna/4a/01a/22	вспоминать	تَذَكَّرَ
bayna/4a/01a/23	противостоять	تَعَارَضَ
bayna/4a/01a/24	переходить	تَعَدَّى
bayna/4a/01a/25	решение	تَقْرِيرٌ
bayna/4a/01a/26	гибель	تَهْلُكَةٌ
bayna/4a/01a/27	быть установленным	ثَبَتَ
bayna/4a/01a/28	огромный	جَسِيمٌ
bayna/4a/01a/29	род	جِنْسٌ
bayna/4a/01a/30	свобода	حُرِّيَّةٌ
bayna/4a/01a/31	пожар	حَرِيقٌ
bayna/4a/01a/32	дурной поступок	خَبِيثَةٌ мн. خَبَائِثُ
bayna/4a/01a/33	убыток	خَسَارَةٌ
bayna/4a/01a/34	особенно	خصوصا
bayna/4a/01a/35	дым	دُخَانٌ
bayna/4a/01a/36	курить	دَخَّنَ
bayna/4a/01a/37	исследование	دِرَاسَةٌ
bayna/4a/01a/38	реклама	دِعَايَةٌ
bayna/4a/01a/39	докозательство	دَلِيلٌ
bayna/4a/01a/40	предшествовать	سَبَقَ
bayna/4a/01a/41	вспыхнул	شَبَّ
bayna/4a/01a/42	личный	شَخْصِيٌّ
bayna/4a/01a/43	старость	شَيْخُوخَةٌ
bayna/4a/01a/44	вред за вред	ضَرَارٌ
bayna/4a/01a/45	вред	ضَرَرٌ
bayna/4a/01a/46	необходимый	ضَرُورِيٌّ
bayna/4a/01a/47	согласно	طِبْقًا
bayna/4a/01a/48	разумный	عَاقِلٌ عُقَلاَءُ
bayna/4a/01a/49	подвергать	عَرَّضَ
bayna/4a/01a/50	предопределение	قَضَاءٌ
bayna/4a/01a/51	поднимающийся	مُتَصَاعِدٌ
bayna/4a/01a/52	соседний	مُتَجَاوِرٌ
bayna/4a/01a/53	горе	مُصِيبَةٌ
bayna/4a/01a/54	взамен	مُقَابِلٌ
bayna/4a/01a/55	вытекающий	نَاتِجٌ
bayna/4a/01a/56	распространять	نَشَرَ
bayna/4a/01a/57	эпидемия	وَبَاءٌ мн. أَوْبِئَةٌ
bayna/4a/01a/58	смерть	وَفَاةٌ мн. وَفَيَاتٌ
bayna/4a/01b/11	мера предосторожности	اِحْتِياطٌ/اتٌ
bayna/4a/01b/12	скрывать, прятать	أخْفَى - يُخْفِي
bayna/4a/01b/13	брататься	آخَى - يُؤَاخِي
bayna/4a/01b/14	позволять	أَذِنَ - يَأْذَنُ.
bayna/4a/01b/15	группами	أَرْسالًا
bayna/4a/01b/16	обвинять	اِتَّهَمَ - يَتًَّّهِمُ
bayna/4a/01b/17	кормить грудью	أَرْضَعَ - يُرْضِعُ
bayna/4a/01b/18	встречать	اِسْتَقْبَلَ - يَسْتَقْبِلُ
bayna/4a/01b/19	брать в плен	أَسَرَ - يَأْسِرُ
bayna/4a/01b/20	ниже	أَسْفَلَ - يُسْفِلُ
bayna/4a/01b/21	усиливаться	اِشْتَدَّ - يَشْتَدُّ
bayna/4a/01b/22	возвращать	أَعَادَ - يُعِيدُ
bayna/4a/01b/23	отвергать	أَعْرَضَ - يُعْرِضُ
bayna/4a/01b/24	ослеплять	أَعْمَى - يُعْمِي
bayna/4a/01b/25	ускользание	إِفْلَاتٌ
bayna/4a/01b/26	приходить	أَقْبَلَ - يُقْبِلُ
bayna/4a/01b/27	преследовать	اِقْتَفَى - يَقْتَفِي
bayna/4a/01b/28	встречать	اِلْتَقَى - يَلْتَقِي
bayna/4a/01b/29	повиновение	اِمْتِثَالٌ
bayna/4a/01b/30	надежда	أَمَلٌ / آمَالٌ
bayna/4a/01b/31	побеждать	اِنْتَصَرَ - يَنْتَصِرُ
bayna/4a/01b/32	рожать	أَنْجَبَ - يُنْجِبُ
bayna/4a/01b/33	петь	أَنْشَدَ - يُنْشِدُ
bayna/4a/01b/34	останавливаться	اِنْقَطَعَ - يَنْقَطِعُ
bayna/4a/01b/35	присягать	بَايَعَ - يُبًايِعُ
bayna/4a/01b/36	предвещать	بَشَّرَ بِ - يُبَشِّرُ
bayna/4a/01b/37	статья, пункт	بَنْدٌ / بُنُودٌ
bayna/4a/01b/38	ослеплять	بَهَرَ - يَبْهِرُ
bayna/4a/01b/39	присяга	بَيْعَةٌ
bayna/4a/01b/40	следующий	تَالٍ
bayna/4a/01b/41	устраивать заговор	تَآمَرَ - يَتَآمَرُ
bayna/4a/01b/42	идти друг за другом	تَتَابَعَ - يَتَتَابَعُ
bayna/4a/01b/43	слежка	تَتَبُّعٌ
bayna/4a/01b/44	заключать союз	تَحَالَفَ - يَتَحَالَفُ
bayna/4a/01b/45	проходить незаметно	تَسَلَّلَ - يَتَسَلَّلُ
bayna/4a/01b/46	прислушиваться	تَسَمَّعَ - يَتَسَمَّعُ
bayna/4a/01b/47	пытка	تَعْذِيبٌ
bayna/4a/01b/48	являться, воображать	تَمَثَّلَ - يَتَمَثَّلُ
bayna/4a/01b/49	желать	تَمَنَّى - يَتَمَنَّى
bayna/4a/01b/50	направляться	تَوَجَّهَ - يَتَوَجَّهُ
bayna/4a/01b/51	явность	جَهْرٌ
bayna/4a/01b/52	осаждать	حَاصَرَ - يُحَاصِرُ
bayna/4a/01b/53	партия	حِزْبٌ / أَحْزَابٌ
bayna/4a/01b/54	осада, блокада	حِصَارٌ
bayna/4a/01b/55	разрушать	حَطَّمَ - يُحَطِّمُ
bayna/4a/01b/56	рыть	حَفَرَ - يَحْفِرُ
bayna/4a/01b/57	дядя(мат.сторон)	خَالٌ/أَخْوَالٌ
bayna/4a/01b/58	ослушиваться	خَالَفَ - يُخَالِفُ
bayna/4a/01b/59	падать	خَرَّ - يَخُرُّ
bayna/4a/01b/60	ослабевать	خَفَّ - يَخِفُّ
bayna/4a/01b/61	уединение	خَلْوَةٌ / اتٌ
bayna/4a/01b/62	ров	خَنْدَقٌ /خَنَادِقُ
bayna/4a/01b/63	стрелок	رَامٍ / رُمَاةٌ
bayna/4a/01b/64	монах	رَاهِبٌ /رُهْبَانٌ
bayna/4a/01b/65	колдун	سَاحِرٌ/سُحَّارٌ/سَحَرَةٌ
bayna/4a/01b/66	дело; значение	شَأْنٌ / شُؤُونٌ
bayna/4a/01b/67	помог ему	شَدَّ أَزْرَهُ
bayna/4a/01b/68	шипы, иголка	شَوْكٌ / أَشْوَاكٌ
bayna/4a/01b/69	мальчик	صَبِيٌّ /صِبْيَانٌ
bayna/4a/01b/70	раскалывать	صَدَعَ - يَصْدَعُ
bayna/4a/01b/71	подъем, восхождение	صُعُودٌ
bayna/4a/01b/72	мир, примирение	صُلْحٌ
bayna/4a/01b/73	идол	صَنَمٌ /أَصْنَامٌ
bayna/4a/01b/74	находить	عَثَرَ - يَعْثُرُعلى
bayna/4a/01b/75	оправдание; причина	عُذْرٌ - أًعْذَارٌ
bayna/4a/01b/76	заключать	عَقَدَ - يَعْقِدُ
bayna/4a/01b/77	договор	عَهْدٌ / عُهُودٌ
bayna/4a/01b/78	хрящ	غُضْرُوفٌ/غَضَارِيفُ
bayna/4a/01b/79	юноша	غُلَامٌ / غِلْمَانٌ
bayna/4a/01b/80	радоваться	فَرِحَ - يَفْرَحُ
bayna/4a/01b/81	конь	فَرَسٌ /أَفْرَاسٌ
bayna/4a/01b/82	отделять; разгонять	فَرَّقَ - يُفَرِّقُ
bayna/4a/01b/83	идти впереди, предшествовать	قَدَمَ-يَقْدُمُ-قَدْمٌ
bayna/4a/01b/84	прибывать,приезжать	قَدِمَ-يَقْدَمُ-قُدُومٌ
bayna/4a/01b/85	был старым(древним)	قَدُمَ-يَقْدُمُ-قِدَمٌ
bayna/4a/01b/86	около, приблизительно	قُرَابَةٌ
bayna/4a/01b/87	прекращать; резать	قَطَعَ - يَقْطَعُ
bayna/4a/01b/88	жрец	كَاهِنٌ
bayna/4a/01b/89	нападение, атака	كَرَّةٌ / اتٌ
bayna/4a/01b/90	чаша весов	كِفَّةٌ / كِفَفٌ
bayna/4a/01b/91	заботиться	كَفَلَ - يَكْفُلُ
bayna/4a/01b/92	избавлять	كَفَى
bayna/4a/01b/93	особенно	لَا سِيَّمَا
bayna/4a/01b/94	погоня	لَحَاقٌ
bayna/4a/01b/95	встречать	لَقِىَ
bayna/4a/01b/96	склоняться	مَالَ
bayna/4a/01b/97	сразу	مُبَاشَرَةٌ
bayna/4a/01b/98	посылание	مَبْعَثٌ
bayna/4a/01b/99	воплощать	مَثَّلَ
bayna/4a/01b/100	сумашедший	مَجْنُونٌ мн. مَجَانِينُ
bayna/4a/01b/101	покрытый	مُدَّثِرٌ
bayna/4a/01b/102	договор	مُعَاهَدَةٌ
bayna/4a/01b/103	битва	مَعْرَكَةٌ , مَعْرُكَةٌ мн. مَعَارِكُ
bayna/4a/01b/104	приход	مُقدِمٌ
bayna/4a/01b/105	оставаться	مَكَثَ
bayna/4a/01b/106	случай	مُنَاسِبَةٌ
bayna/4a/01b/107	запрещать	مَنَعَ
bayna/4a/01b/108	сезон	مَوْسِمٌ
bayna/4a/01b/109	господин	مَوْلًى мн. مَوَالٍ
bayna/4a/01b/110	родство	نَسَبٌ
bayna/4a/01b/111	разрывать	نَقَضَ
bayna/4a/01b/112	наносить поражение	هَزَمَ
bayna/4a/01b/113	утешать	وَاسَى
bayna/4a/01b/114	делегация	وَفْدٌ
bayna/4a/01b/115	рождение	وِلاَدَةٌ
bayna/4a/01b/116	сирота	мн. أَيْتَامٌ , يَتَامَى
bayna/4a/02a/11	человеческий; гуманный, гуманитарный	إِنْسَانِيٌّ
bayna/4a/02a/12	скучать, испытывать скуку, надоедать	مَلَّ - يَمَلُّ
bayna/4a/02a/13	усердие, труд, старание	جِدٌّ
bayna/4a/02a/14	скука, отвращение	سَأَمٌ
bayna/4a/02a/15	быть разрешенным, позволенным; проходить; заканчиваться успехом	جَازَ - يُجِيزُ
bayna/4a/02a/16	учение, обучение; образование; доктрина	تَعْلِيمٌ / تَعَالِيمُ
bayna/4a/02a/17	вероучение Ислама	تَعْلِيمُ الإِسْلَامِ
bayna/4a/02a/18	развлечение, забава	لَهْوٌ
bayna/4a/02a/19	дозволенный	مُبَاحٌ
bayna/4a/02a/20	телесный, физический	جِسْمِىٌّ
bayna/4a/02a/21	духовный	رُوحِىّْ
bayna/4a/02a/22	умственный, интеллектуальный	عَقْلِيٌّ
bayna/4a/02a/23	увеличение, прибавление, добавка	مَزِيدٌ
bayna/4a/02a/24	поклонение	عِبَادَةٌ
bayna/4a/02a/25	обновлять, возобновлять ll	جَدَّدَ - يُجَدِّدُ
bayna/4a/02a/26	платить, оплачивать; побуждать, подталкивать (الى)	دَفَعَ - يَدْفَعُ
bayna/4a/02a/27	отталкивать, отражать, отбивать; защищать (عن);	أُسْوَةٌ
bayna/4a/02a/28	отталкивать, отражать, отбивать; защищать (عن); платить, оплачивать; побуждать, подталкивать (الى)	دَفَعَ - يَدْفَعُ
bayna/4a/02a/29	пример, образец	أُسْوَةٌ
bayna/4a/02a/30	в нём хороший пример для нас	لَنَا فِيهِ أُسْوَةٌ حَسَنَةٌ
bayna/4a/02a/31	смеяться	ضَحِكَ - يَضْحَكُ
bayna/4a/02a/32	шутить, подшучивать	مَزَحَ - يَمْزَحُ
bayna/4a/02a/33	правдивое слово	قَوْلُ الصَّادِقِ
bayna/4a/02a/34	довольство	رِضْوَانٌ
bayna/4a/02a/35	да будет доволен ими Аллаh	رُضْوَانُ اللهِ عَلَيْهِمْ
bayna/4a/02a/36	шутить друг с другом, обмениваться шутками Vl	تَدَاعَبَ - يَتَدَاعَبُ
bayna/4a/02a/37	старая женщина, старуха	عَجُوزَةٌ
bayna/4a/02a/38	ансары (мединские сподвижники)	الْأَنْصَار
bayna/4a/02a/39	помолись (амр)	أُدْعُ
bayna/4a/02a/40	такой-то	فُلاَنٌ
bayna/4a/02a/41	плакать, рыдать	بَكَى - يَبْكِي
bayna/4a/02a/42	улыбаться	تَبَسَّمَ - يَتَبَسِّمُ
bayna/4a/02a/43	возводить, воздвигать; основывать lV	أَنْشَأَ
bayna/4a/02a/44	девственный, чистый; девственница	بِكْرٌ / أَبْكاَرٌ
bayna/4a/02a/45	давать милостыню (على) V	تَصَدَّقَ - يَتَصَدَّقُ
bayna/4a/02a/46	верблюд	بَعِيرٌ
bayna/4a/02a/47	верблюдица	نَاقَةٌ
bayna/4a/02a/48	верблюды (собир.)	إِبِلٌ
bayna/4a/02a/49	тело, корпус, туловище	بَدَنٌ / أَبْدَانٌ
bayna/4a/02a/50	судьба, предопределение	قَدَرٌ / أَقْدَارٌ
bayna/4a/02a/51	редкостная вещь, диковинка	طَرِيفَةٌ / طَرَائِفُ
bayna/4a/02a/52	нрав, натура, характер	خُلْقٌ / أَخْلاَقٌ
bayna/4a/02a/53	воспитанность, вежливость; нравственность	أَدَبٌ / آدَابٌ
bayna/4a/02a/54	занятие, дело, работа	شُغْلٌ
bayna/4a/02a/55	пустая трата времени	شَغْلُ أَوْقَاتَ الفَرَاغِ
bayna/4a/02a/56	использование, эксплуатация; капиталовложение	إِسْتِثْمَارٌ
bayna/4a/02a/57	одерживать верх, побеждать (على) V	تَغَلَّبَ - يَتَغَلَّبُ
bayna/4a/02a/58	раскрытие; разрешение, позволение	إِباَحَةٌ
bayna/4a/02a/59	значение, смысл; идея	مَعْنًى / مَعَانٍ
bayna/4a/02a/60	шутка, подшучивание	هَزْلٌ
bayna/4a/02a/61	дух веселья	رُوحٌ المَرَحِ
bayna/4a/02a/62	пропадать, теряться	ضَاعَ - يَضِيعُ
bayna/4a/02a/63	фактор, причина	عَامِلٌ
bayna/4a/02a/64	любовь, привязанность	مَحَبَّةٌ
bayna/4a/02a/65	братство	أُخُوَّةٌ
bayna/4a/02a/66	играть, разыграть кого-л; забавлять lll	عَابَثَ - يُعَابِثُ
bayna/4a/02a/67	шутник	عَابِثٌ
bayna/4a/02a/68	современный; современник	مُعَاصِرٌ
bayna/4a/02a/69	шуметь, гудеть, бурлить, кипеть	هَدَرَ - يَهْدِرُ
bayna/4a/02a/70	ложный, неверный; тщетный, напрасный; вздор, небылица, фальшь	بَاطِلٌ
bayna/4a/02a/71	страдание, боль, обида; вред, ущерб; неприятность	أَذًى
bayna/4a/02a/72	мучение, причинение страданий	إِيذَاءٌ
bayna/4a/02a/73	горе, беда	وَيْلٌ
bayna/4a/02a/74	насмехаться, издеваться (ب، من)	سَخِرَ - يَسْخَرُ
bayna/4a/02a/75	предмет насмешек, насмешка	سُخْرِيَّةٌ
bayna/4a/02a/76	народ, нация; люди	قَوْمٌ / أَقْوَامٌ
bayna/4a/02a/77	небрежный, невнимательный	لاَهٍ ж. لاَهِيَةٌ
bayna/4a/02a/78	желать, хотеть	اِبْتَغَى
bayna/4a/02a/79	позволять	أَجَازَ
bayna/4a/02a/80	старание	إِجْتِهَادٌ
bayna/4a/02a/81	инвестиция	إِسْتِثْمَارٌ
bayna/4a/02a/82	смешить	أَضْحَكَ
bayna/4a/02a/83	помогать	أَعَانَ
bayna/4a/02a/84	дороже	أَغْلَى
bayna/4a/02a/85	тело	بَدَنٌ
bayna/4a/02a/86	называть друг друга оскорбительными словами	تَنَابَرَ
bayna/4a/02a/87	вслед за…	تَبعًا
bayna/4a/02a/88	сверстник	تِرْبٌ мн. أَتْرَبٌ
bayna/4a/02a/89	побеждать	تَغَلَّبَ
bayna/4a/02a/90	несущий	حَامِلٌ
bayna/4a/02a/91	говорить	حَدَّثَ
bayna/4a/02a/92	толкать	دَفَعَ
bayna/4a/02a/93	может быть	عَسَى
bayna/4a/02a/94	цена	قَدْرٌ
bayna/4a/02a/95	ценность	قِيمَةٌ
bayna/4a/02a/96	играющи	لَاهٍ
bayna/4a/02a/97	кличка	لَقْبٌ
bayna/4a/02a/98	редкостная вещь	طَرِيفَةٌ мн. طَرَائِفُ
bayna/4a/02a/99	любящая жена	عَرُوبٌ عُرُبٌ
bayna/4a/02b/11	противиться	أَبَى
bayna/4a/02b/12	усаживать	أَجْلَسَ
bayna/4a/02b/13	тревожить	أَزْعَجَ
bayna/4a/02b/14	истахьйа стесняться	استحيا
bayna/4a/02b/15	быть равным	اسْتَوَى
bayna/4a/02b/16	выходить	اطلع على ит1ла1 1ала
bayna/4a/02b/17	давать тень	أَظَلَّ
bayna/4a/02b/18	помогать	أَعَانَ
bayna/4a/02b/19	избавлять	اغنى عن аг1на 1ан
bayna/4a/02b/20	искать	اِفْتَقَدَ
bayna/4a/02b/21	опускать	أَنْزَلَ
bayna/4a/02b/22	уходить	اِنْصَرَفَ
bayna/4a/02b/23	самый достойный	أَوْلَى
bayna/4a/02b/24	исцелившийся	بَرِىءٌ
bayna/4a/02b/25	отдавать полностью	بَذَلَ
bayna/4a/02b/26	достаточность	بَلاَغٌ
bayna/4a/02b/27	ответственность	تَبِعَةٌ
bayna/4a/02b/28	избегать	تَهَرَّبَ من
bayna/4a/02b/29	возвращаться	ثَابَ
bayna/4a/02b/30	отвращать, отговаривать	ثَنَى
bayna/4a/02b/31	отчитывать	حَاسَبَ
bayna/4a/02b/32	тихий	خَافِتٌ
bayna/4a/02b/33	оставлять своим наместником	استخلاف
bayna/4a/02b/34	спрятать	خَبَأَ
bayna/4a/02b/35	бояться	حَاشَ
bayna/4a/02b/36	лёгкий	خَفِيفٌ
bayna/4a/02b/37	льстить	دَاهَنَ
bayna/4a/02b/38	приближаться	دَنَا
bayna/4a/02b/39	обсуждать	ذَاكَرَ
bayna/4a/02b/40	спящий	رَاقِدٌ
bayna/4a/02b/41	извлекать прибыль	رَبِحَ
bayna/4a/02b/42	тихонько	رُوَيْدًا
bayna/4a/02b/43	исчезать	زَالَ
bayna/4a/02b/44	молчать	سَكَتَ
bayna/4a/02b/45	равный	سَوَاءٌ
bayna/4a/02b/46	занимать	شَغَلَ
bayna/4a/02b/47	кричать	صَاحَ
bayna/4a/02b/48	откровенный	صَرِيحٌ
bayna/4a/02b/49	быть скупым	ضَنَّ
bayna/4a/02b/50	быть довольным	طَابَ نَفْسًا
bayna/4a/02b/51	жаждать	طَمِعَ
bayna/4a/02b/52	тень	ظِلٌّ
bayna/4a/02b/53	исцелять	عَافَى
bayna/4a/02b/54	предлагать	عَرَضَ
bayna/4a/02b/55	трудный	عَسِيرٌ
bayna/4a/02b/56	препятствие	عَقْبَةٌ
bayna/4a/02b/57	знать	عَهِدَ
bayna/4a/02b/58	трофей (без войны)	فَيْءٌ
bayna/4a/02b/59	целовать	قَبَّلَ
bayna/4a/02b/60	делить	قَسَمَ
bayna/4a/02b/61	не желать	كَرِهَ
bayna/4a/02b/62	способность	كِفَايَةٌ
bayna/4a/02b/63	كُوَّةٌ	небольшое окно
bayna/4a/02b/64	ما لي...	ما لي...
bayna/4a/02b/65	завершающий	مُتِمٌ
bayna/4a/02b/66	пьеса	مَسْرَحِيَّةٌ
bayna/4a/02b/67	театр. картина	مَشْهَدٌ
bayna/4a/02b/68	полный	مِلْءٌ
bayna/4a/02b/69	положение	مَنْزِلَةٌ
bayna/4a/02b/70	отличать	مَيَّزَ
bayna/4a/02b/71	умолять	نَشَدَ
bayna/4a/02b/72	описывать	نَعَتَ
bayna/4a/02b/73	погибать	هَلَكَ
bayna/4a/02b/74	легкий	هَيِّن хьайина
bayna/4a/02b/75	подушка	وِسَادةٌ
bayna/4a/02b/76	недомогание	وَعْكَةٌ
bayna/4a/02b/77	платить сполна	وَفَّى
bayna/4a/02b/78	править	وَلَى
bayna/4a/02b/79	горе тебе	وَيْحَكَ
